"Slug",":draft","ID","Full Name","Title","Role title","Image","Image:alt","Featured","Testimonial"
"practical-strategic-guidance","true","0","Victor Barreto","Practical Strategic Guidance","Senior Designer @ Superside","","","false","<p>Suraj provides an incredible mentoring experience. His guidance is practical, insightful, and perfectly tailored to my specific career stage. I highly recommend his coaching for any designer!</p>"
"studio-soren-helped-my-business","true","3","Nick Regnier","""Highly recommend!""","Managing Director @ Cledor Limited","https://framerusercontent.com/images/gipztlzm0URiKoWFOSVHTPe0ds.png","Nick Regnier","false","<p dir=""auto"">Their guidance is vital; don’t be fooled, AI agents require expert setup. Thanks to Suraj, James, and Raj, we now have a robust system to elevate our services. Highly recommend!</p>"
"adetola-adetula","true","0","Adetola Adetula","Creative & Timely Problem Solving","KEYS Community","","","false","<p>Working with Studio Soren was a great experience. Their creativity and problem-solving skills are top-notch and truly impressive. I especially appreciated that all deliverables were completed on time. Highly recommended!</p>"
"suraj-has-the-rare-ability-to-quickly-understand-complex-business-and-product-pain-points","false","0","Anisha L","A rare ability to quickly understand complexity","Lloyds Banking Group","https://framerusercontent.com/images/TR4iNTtoFhPF0l7Ai4MRI8NpTE.png","Photo of Anisha L","false","<p dir=""auto"">As a PM at BT, I worked with Suraj on future vision. He translates complex business and customer needs into high-end, thoughtful design. Strategic and collaborative, I recommend Suraj and his design consultancy for impactful work.</p>"
"they-really-helped-me-think-about-my-customer-journey","false","4","Dr Russell Sutherland","""They really helped me think about my customer journey""","Director @ Variantt","https://framerusercontent.com/images/mZWvVZuRDrlPsrsy0T7luo0R7A.webp","Russell Sutherland","true","<p dir=""auto"">I received a great brand design and coaching service from Studio Soren. they really helped me think about my customer journey and how to position my services.  I thoroughly recommend them.</p>"
"expert-mentorship-flawless-craft","false","0","Callum Dixon","Expert Mentorship & Flawless Craft","Art Director","","","false","<p>I’ve used Studio Soren for multiple ventures and will again. Their craftsmanship is next-level, and their dedication to coaching for the best business outcome is surreal. I recommend their services 100 times over!</p>"
"strategic-design-product-excellence","false","0","Tom Hirst","Strategic Design & Product Excellence","Front-end Developer","","","false","<p>Studio Soren combines sharp product thinking with elite design. They are user-centered, fastidious, and deliver practical solutions that actually ship. For strategic insight and creative discipline, I highly recommend them!</p>"
"human-centered-design-excellence","false","3","Matt Hymers","Human-Centered Design Excellence","Connected Fanatics","https://framerusercontent.com/images/9gNmoh2qFnpPyJJ5PRjsPteuTDQ.jpeg","Image of Matt Hymers at a presentation","false","<p dir=""auto"">With Suraj, you get more than just design. His ability to solve problems by putting the customer at the centre of the experience is second to none. He is a great person to work with and I couldn't recommend him more highly!</p>"
"i’ve-worked-with-suraj-for-years-he’s-incredible.","false","0","Anna Coughlan","I’ve worked with Suraj for years; he’s incredible.","Meta","","","false","<p>His storyboarding and unique problem-solving go above and beyond. He inspires teams and builds communities that enhance every project. A truly legendary creative partner!</p>"
"learning-with-studio-soren-was-an-insightful-experience","false","0"," Jesutofunmi Oluwatosin","Learning with Suraj was hugely insightful","KEYS Community","","","false","<p><br class=""trailing-break""></p>"
"studio-soren-transformed-the-jiu-jitsu-foundation’s-brand.","false","1","Eric Law","""The Studio's design leadership delivers real results""","Chair @ The Jiu Jitsu Foundation","https://framerusercontent.com/images/nYGDjSKi6xHpvN1LuZJUbOsGU.jpg","","true","<p dir=""auto"">Studio Soren's team mobilisation helped our digital channels and boosted engagement. Suraj’s leadership delivers real results. I highly recommend them for any non-profit organisation!</p>"
"studio-soren-helped-my-business-copy","false","2","Thomas Simmonds","""A conscientious, top-tier partner!"" ","Founder @ The Recovery Room","https://framerusercontent.com/images/qmWS7JNCKGZCnL6zJ8JuOYLKjQ.png","Massage therapist Thomas SImmonds","true","<p dir=""auto"">He helped me overcome entrepreneurial paralysis with a patient, meticulous approach. His active listening and thorough analysis have given me newfound confidence. A conscientious, top-tier partner!</p>"
