"Slug","Service Types","Show pricing asset","Order","Title","Price","Period","Description"
"embedded-engineering-squads","software-engineering","false","1","Embedded Engineering Squads","","asset","<p dir=""auto"">High-velocity, full-stack teams that integrate into your agile cycles to accelerate product roadmaps and maintain peak delivery momentum.</p>"
"technical-architecture-discovery","software-engineering","false","2","Technical Architecture & Discovery","","asset","<p dir=""auto"">Strategic blueprints and AI-ready systems design to ensure your platform is scalable, secure, and commercially viable before the first sprint.</p>"
"managed-frontend-engineering","software-engineering","false","3","Managed Frontend Engineering","","asset","<p dir=""auto"">Specialist frontend units that treat design systems as code, delivering pixel-perfect, accessible interfaces with a focus on performance and SEO.</p>"
"platform-engineering-finops","software-engineering","true","4","Platform Engineering & FinOps","","asset","<p dir=""auto"">Managed infrastructure and cloud operations designed to optimise performance, automate security, and provide complete visibility over your cloud spend.</p>"
"product-evolution-maintenance","software-engineering","false","5","Product Evolution & Maintenance","","asset","<p dir=""auto"">A dedicated service for proactive updates, technical debt management, and incremental feature shipping to protect and scale your long-term investment.</p>"
"managed-production-units","managed-services","false","0","Managed Production Units","","asset","<p dir=""auto"">A high-output engine for localised content and digital assets, maintained by Studio Soren to protect your brand at scale.</p>"
"creative-design-operations-(desops)","managed-services","true","0","Creative Design Operations (DesOps)","","asset","<p dir=""auto"">Optimising your design infrastructure, workflows, and tooling to maximise team velocity and measurable creative impact.</p>"
"strategic-staff-augmentation","managed-services","false","0","Strategic Staff Augmentation","","asset","<p dir=""auto"">On-demand access to elite design specialists to fill critical skill gaps and scale your capacity without the hiring lag.</p>"
"design-system-governance","managed-services","false","0","Design System Governance","","asset","<p dir=""auto"">Centralised management of your UI libraries to ensure brand consistency and seamless adoption across all business units.</p>"
"embedded-design-pods","managed-services","false","0","Embedded Design Pods","","asset","<p dir=""auto"">High-performance squads that integrate into your team to accelerate roadmaps and bridge the gap from vision to launch.</p>"
"ai-workflows","ai-integration","false","4","AI workflows","","asset","<p dir=""auto"">Learn how to use AI in a way that works for you and your businesses processes. We use tailored workshops and focus group sessions to design the best way for your business to run in the new agentic AI era.</p>"
"introduction-to-genai","ai-integration","true","1","Introduction to GenAI","","one-off","<p>Foundational workshops for charity leaders to demystify AI. Discover how to automate admin, streamline grant applications, and enhance creative output, allowing your team to spend more time on direct action and less time on repetitive paperwork.</p>"
"designing-agentic-systems","ai-integration","true","2","Designing Agentic systems","","month","<p>Building proactive AI agents that act as 24/7 extensions of your team. From navigating complex social service applications to coordinating volunteers, these systems provide reliable, autonomous support for those in your community who need it most.</p>"
"using-ai-for-user-experience","ai-integration","false","3","Using ai for user experience (UX)","Get in touch","asset","<p>A tailored, multi-week course addressing your team's specific pain points. We cover the ethics of AI, bias mitigation, and practical workflows to automate accessibility and personalise journeys, ensuring technology remains a force for good.</p>"
"adapting-stories-for-every-platform","digital-storytelling","false","3","Adapting Stories for Every Platform","","asset","<p dir=""auto"">We ensure your message is ""liquid"", effortlessly shifting from social reels to newsletters while remaining accessible to everyone. By focusing on simple, jargon-free digital doorways, we make it frictionless for people to move from a story to a donation.</p>"
"storyboarding-narrative-design","digital-storytelling","false","2","Storyboarding & Narrative Design","","asset","<p dir=""auto"">We sketch the ""skeleton"" of your campaign using various levels of fidelity to spot logic gaps and ensure a jargon-free flow. By mapping the emotional journey from low-fidelity stick figures to polished frames, we make the path to donation clear and effortless.</p>"
"empathy-driven-narratives","digital-storytelling","false","1","Empathy-Driven Narratives","","asset","<p dir=""auto"">We turn cold statistics into ""The Heart""—human narratives that bridge the gap between data and donor empathy. By identifying the real human struggle, we make your cause feel personal, urgent, and worth supporting.</p>"
"live-usability-testing","user-research","true","5","Live Usability Testing","","asset","<p>We facilitate real-time sessions to watch how users navigate your concepts, allowing us to dive deeper into friction points as they happen.</p>"
"unmoderated-testing","user-research","true","4","Unmoderated Testing","","asset","<p>We observe users interacting with your service in their own environment, capturing unbiased feedback and usability insights quickly and efficiently.</p>"
"quantitative-surveys","user-research","true","3","Quantitative Surveys","","asset","<p>We gather insightful data to validate trends and patterns, providing the confidence you need to make evidence-based service decisions.</p>"
"user-interviews","user-research","true","2","User Interviews","","asset","<p>We conduct deep-dive conversations with your target audience to uncover the ""why"" behind their behaviours and reveal their genuine pain points.</p>"
"stakeholder-interviews","user-research","true","1","Stakeholder Interviews","","asset","<p>We align your project’s goals by interviewing key internal voices, ensuring our research strategy supports your broader organisational objectives.</p>"
"user-journey-map","design-strategy","true","1","User journey map","","asset","<p>A refined user journey, storyboard assets, and UX frameworks to visualise the beneficiary experience, highlighting critical risks and impact opportunities.</p>"
"problem-identification","design-strategy","true","2","Problem identification ","","month","<p>Evidence-based research to uncover root causes, ensuring your digital solutions address the true, lived challenges of the communities you serve</p>"
